2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@24ba9639
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.BasicTypeReference@38aa816f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration int -> org.hibernate.type.BasicTypeReference@38aa816f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@38aa816f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration long -> org.hibernate.type.BasicTypeReference@53f6fd09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration long -> org.hibernate.type.BasicTypeReference@53f6fd09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@53f6fd09
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration float -> org.hibernate.type.BasicTypeReference@6bffbc6d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration float -> org.hibernate.type.BasicTypeReference@6bffbc6d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@6bffbc6d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration double -> org.hibernate.type.BasicTypeReference@1b84f475
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration double -> org.hibernate.type.BasicTypeReference@1b84f475
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@1b84f475
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@7749bf93
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@7749bf93
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@13330ac6
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@13330ac6
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration character -> org.hibernate.type.BasicTypeReference@539d019
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration char -> org.hibernate.type.BasicTypeReference@539d019
