N, M, K, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10, 10, 3, SEQUENTIAL, None, 1, output_SEQUENTIAL_10_10_3.txt, 0.126
1000, 1000, 3, SEQUENTIAL, None, 1, output_SEQUENTIAL_1000_1000_3.txt, 18.459333
10000, 10000, 3, SEQUENTIAL, None, 1, output_SEQUENTIAL_10000_10000_3.txt, 1609.035458
10, 10, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_10_10_3.txt, 0.137959
1000, 1000, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_1000_1000_3.txt, 24.655458
10000, 10000, 3, INLINE_SEQUENTIAL, None, 1, output_INLINE_SEQUENTIAL_10000_10000_3.txt, 1484.125542
10, 10, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_10_10_3_2_BARRIER.txt, 1.50
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_1000_1000_3_2_BARRIER.txt, 25.12
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 4, output_INLINE_PARALLEL_1000_1000_3_4_BARRIER.txt, 58.40
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 8, output_INLINE_PARALLEL_1000_1000_3_8_BARRIER.txt, 141.71
1000, 1000, 3, INLINE_PARALLEL, BARRIER, 16, output_INLINE_PARALLEL_1000_1000_3_16_BARRIER.txt, 66.98
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 2, output_INLINE_PARALLEL_10000_10000_3_2_BARRIER.txt, 785.31
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 4, output_INLINE_PARALLEL_10000_10000_3_4_BARRIER.txt, 429.48
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 8, output_INLINE_PARALLEL_10000_10000_3_8_BARRIER.txt, 322.53
10000, 10000, 3, INLINE_PARALLEL, BARRIER, 16, output_INLINE_PARALLEL_10000_10000_3_16_BARRIER.txt, 384.95
10, 10, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_10_10_3_2_FLAG.txt, 1.43
1000, 1000, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_1000_1000_3_2_FLAG.txt, 27.69
1000, 1000, 3, INLINE_PARALLEL, FLAG, 4, output_INLINE_PARALLEL_1000_1000_3_4_FLAG.txt, 56.70
1000, 1000, 3, INLINE_PARALLEL, FLAG, 8, output_INLINE_PARALLEL_1000_1000_3_8_FLAG.txt, 61.32
1000, 1000, 3, INLINE_PARALLEL, FLAG, 16, output_INLINE_PARALLEL_1000_1000_3_16_FLAG.txt, 204.34
10000, 10000, 3, INLINE_PARALLEL, FLAG, 2, output_INLINE_PARALLEL_10000_10000_3_2_FLAG.txt, 687.40
10000, 10000, 3, INLINE_PARALLEL, FLAG, 4, output_INLINE_PARALLEL_10000_10000_3_4_FLAG.txt, 371.07
10000, 10000, 3, INLINE_PARALLEL, FLAG, 8, output_INLINE_PARALLEL_10000_10000_3_8_FLAG.txt, 295.93
10000, 10000, 3, INLINE_PARALLEL, FLAG, 16, output_INLINE_PARALLEL_10000_10000_3_16_FLAG.txt, 395.98
