N, M, K, Matrix Type, Method, Type, Thread Count, Output File, Average Execution Time (ms)
10000, 10, 5, DYNAMIC, BATCH, ROWS, 16, output_BATCH_ROWS_10000_10_5_16_DYNAMIC.txt, 4.09225900000000000000
10000, 10000, 5, DYNAMIC, BATCH, ROWS, 2, output_BATCH_ROWS_10000_10000_5_2_DYNAMIC.txt, 9148.03900000000000000000
10000, 10000, 5, DYNAMIC, BATCH, ROWS, 4, output_BATCH_ROWS_10000_10000_5_4_DYNAMIC.txt, 5059.41000000000000000000
10000, 10000, 5, DYNAMIC, BATCH, ROWS, 8, output_BATCH_ROWS_10000_10000_5_8_DYNAMIC.txt, 3787.87500000000000000000
10000, 10000, 5, DYNAMIC, BATCH, ROWS, 16, output_BATCH_ROWS_10000_10000_5_16_DYNAMIC.txt, 3879.23800000000000000000
10, 10, 3, STATIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10_3_4_STATIC.txt, 34.00874000000000000000
1000, 1000, 5, STATIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_1000_1000_5_2_STATIC.txt, 141.34160000000000000000
1000, 1000, 5, STATIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_1000_1000_5_4_STATIC.txt, 113.46832000000000000000
1000, 1000, 5, STATIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_1000_1000_5_8_STATIC.txt, 100.42381000000000000000
1000, 1000, 5, STATIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_1000_1000_5_16_STATIC.txt, 91.93948000000000000000
10, 10000, 5, STATIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10_10000_5_2_STATIC.txt, 51.20520000000000000000
10, 10000, 5, STATIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10_10000_5_4_STATIC.txt, 40.66770000000000000000
10, 10000, 5, STATIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10_10000_5_8_STATIC.txt, 28.46483000000000000000
10, 10000, 5, STATIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10_10000_5_16_STATIC.txt, 31.84320000000000000000
10000, 10, 5, STATIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10_5_2_STATIC.txt, 35.87097000000000000000
10000, 10, 5, STATIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10_5_4_STATIC.txt, 31.80221000000000000000
10000, 10, 5, STATIC, BATCH, COLUMNS, 8, output_BATCH_COLUMNS_10000_10_5_8_STATIC.txt, 29.79263000000000000000
10000, 10, 5, STATIC, BATCH, COLUMNS, 16, output_BATCH_COLUMNS_10000_10_5_16_STATIC.txt, 29.95486000000000000000
10000, 10000, 5, STATIC, BATCH, COLUMNS, 2, output_BATCH_COLUMNS_10000_10000_5_2_STATIC.txt, 8964.04100000000000000000
10000, 10000, 5, STATIC, BATCH, COLUMNS, 4, output_BATCH_COLUMNS_10000_10000_5_4_STATIC.txt, 4687.85900000000000000000
